dimension,defination,sentence
tradition,respect commitment and acceptance of the customs and ideas that one's culture or religion provides,"I value cultural heritage, e.g.: I make an effort to learn about my ancestors' traditions."
tradition,respect commitment and acceptance of the customs and ideas that one's culture or religion provides,"I follow religious practices, e.g.: I attend religious services regularly."
tradition,respect commitment and acceptance of the customs and ideas that one's culture or religion provides,"I honor my elders, e.g.: I always seek advice from my parents before making major decisions."
tradition,respect commitment and acceptance of the customs and ideas that one's culture or religion provides,"I value continuity, e.g.: I pass down family stories and traditions to the next generation."
benevolence,preserving and enhancing the welfare of those with whom one is in frequent personal contact,"I care about others' well-being, e.g.: I always check in on friends who are going through tough times."
benevolence,preserving and enhancing the welfare of those with whom one is in frequent personal contact,"I am generous with my time, e.g.: I volunteer at local charities regularly."
benevolence,preserving and enhancing the welfare of those with whom one is in frequent personal contact,"I value loyalty, e.g.: I always stand by my friends even when it's difficult."
benevolence,preserving and enhancing the welfare of those with whom one is in frequent personal contact,"I am empathetic, e.g.: I try to understand others' feelings before reacting."
benevolence,preserving and enhancing the welfare of those with whom one is in frequent personal contact,"I help others without expecting anything in return, e.g.: I often assist strangers with their groceries."
universalism,understanding appreciation tolerance and protection for the welfare of all people and for nature,"I value equality, e.g.: I believe everyone deserves the same opportunities regardless of their background."
universalism,understanding appreciation tolerance and protection for the welfare of all people and for nature,"I care about the environment, e.g.: I recycle and reduce my carbon footprint as much as possible."
universalism,understanding appreciation tolerance and protection for the welfare of all people and for nature,"I am tolerant of differences, e.g.: I respect people's choices even when I disagree with them."
universalism,understanding appreciation tolerance and protection for the welfare of all people and for nature,"I value social justice, e.g.: I support policies that promote fairness and equality."
universalism,understanding appreciation tolerance and protection for the welfare of all people and for nature,"I appreciate diversity, e.g.: I enjoy learning about different cultures and perspectives."
